3.62,-11.38,13.28,0.00
5.56,-13.19,13.28,0.00
7.25,-15.09,10.54,0.00
8.13,-14.38,6.71,0.00
6.50,-5.69,6.71,0.00
3.69,1.50,6.71,0.00
2.94,-2.53,6.71,0.00
3.56,-6.91,6.71,0.00
3.44,-4.84,6.71,0.00
1.12,4.09,6.71,0.00
-1.50,8.81,0.00,0.00
-2.44,6.00,0.00,0.00
-2.75,4.91,0.00,0.00
-2.06,1.37,0.00,0.00
-0.94,-1.41,0.00,0.00
0.19,-3.09,0.00,0.00
1.62,-6.03,0.00,0.00
4.12,-12.44,0.00,0.00
8.44,-23.44,0.96,0.00
15.19,-60.00,0.96,0.00
22.56,-60.00,0.96,0.00
22.37,-43.34,0.96,0.00
19.31,-15.66,0.96,0.00
13.75,-6.72,0.96,0.00
11.25,-10.63,0.96,0.00
13.25,-24.87,-5.75,0.00
19.69,-60.00,-19.16,0.00
26.75,-60.00,-39.28,-15.33
25.87,-45.19,-55.57,-44.08
13.56,10.44,-68.99,-58.45
-12.13,60.00,-70.90,-60.36
-46.88,60.00,-58.45,-62.28
-58.44,60.00,-12.46,-35.45
-58.19,60.00,8.62,-14.37
-49.88,37.41,9.58,2.87
-41.25,17.81,14.37,5.75
-34.38,17.19,15.33,15.33
-26.94,-1.91,18.21,23.95
-18.62,-25.09,20.12,26.83
-15.19,4.59,18.03,26.57
-16.69,44.63,16.29,23.00
-23.62,60.00,12.33,18.98
-34.69,60.00,12.46,19.16
-34.31,60.00,21.08,23.00
-27.00,-0.84,40.24,31.62
-14.31,-10.25,48.87,39.28
-0.88,-32.28,49.34,39.85
17.31,-60.00,48.39,42.69
31.94,-60.00,44.59,37.95
39.56,-60.00,29.70,29.70
42.06,-60.00,-0.96,15.33
38.75,-52.66,-23.95,-9.58
26.94,34.72,-45.99,-34.49
12.13,18.84,-52.70,-39.28
-1.81,37.56,-49.82,-36.41
-15.94,60.00,-45.99,-34.49
-30.75,60.00,-38.33,-29.70
-38.75,60.00,-23.95,-19.16
-39.56,60.00,4.79,-4.79
-33.50,21.53,37.00,13.28
-20.44,-57.09,54.08,29.41
-5.00,-31.09,55.03,37.00
15.75,-60.00,51.74,37.37
30.00,-60.00,45.99,33.54
37.50,-60.00,29.70,26.83
36.75,-60.00,29.70,12.46
28.94,0.72,-40.24,-12.46
18.37,42.47,-60.36,-23.95
9.44,8.19,-54.62,-23.00
1.81,16.34,-45.03,-19.16
-8.06,36.78,-37.37,-17.25
-22.31,60.00,-29.70,-19.16
-32.88,60.00,-19.16,-13.41
-37.56,60.00,-4.79,-3.83
-36.81,60.00,18.21,-3.83
-31.62,24.34,45.03,10.54
-20.00,-47.19,59.41,25.87
-8.25,-17.00,58.45,30.66
6.62,-47.13,54.62,32.58
26.69,-60.00,50.78,33.54
37.81,-60.00,36.41,25.87
42.00,-60.00,3.83,16.29
38.31,-48.97,-25.87,-1.92
28.12,20.16,-49.82,-19.16
16.06,58.34,-54.62,-25.87
4.75,21.16,-46.95,-22.04
-5.62,34.38,-41.20,-17.25
-15.00,60.00,-30.66,-15.33
-25.87,60.00,-22.04,-11.50
-30.81,60.00,-1.92,-2.87
-29.69,50.94,21.08,-2.87
-22.50,-8.91,47.91,7.67
-12.38,-6.75,57.49,16.29
-2.19,-22.19,57.49,22.04
13.44,-59.22,54.62,26.83
29.37,-60.00,47.91,27.79
35.38,-60.00,15.33,19.16
34.75,-60.00,-5.75,19.16
30.81,-32.09,-22.04,19.16
24.25,0.72,-38.90,-12.33
15.81,31.66,-41.20,-19.16
9.13,3.03,-40.24,-14.37
2.50,12.81,-34.49,-16.29
-1.19,11.00,-27.79,-16.29
-4.69,15.78,-22.04,-15.33
-9.44,26.03,-14.37,-13.41
-14.69,35.16,-4.79,-13.41
-20.69,60.00,0.95,-8.54
-28.19,60.00,0.95,-0.95
-31.19,60.00,0.95,-0.95
-29.62,47.53,21.08,-0.95
-19.69,-35.16,50.78,16.29
-1.75,-42.22,60.36,30.66
18.87,-60.00,59.41,34.49
35.69,-60.00,51.74,32.58
43.56,-60.00,33.54,25.87
42.25,-60.00,5.69,13.28
34.94,-15.03,-27.51,-5.69
26.31,12.06,-46.49,-16.13
17.81,28.12,-45.54,-22.77
7.37,15.03,-41.20,-23.00
1.62,11.94,-35.45,-21.08
-1.12,8.56,-29.70,-19.16
-4.00,13.19,-23.00,-15.33
-6.31,15.25,-13.41,-12.46
